,DATE_STARTED,DATE_SUBMITTED,PID,TASKID,SEQ,DYADID,SURVEY_TYPE,PDEFFFV,PDMFVBAD,PDMFVWANT,PDMFVUPST,PDMFVIMPT,PDKNFV,PDKNFVNS,PDBFVCOST,PDBFVSPL,PDBFVPREP,PDBFVNTFL,PDBFVFMNL,PDBFVREST,PDBFVSUGR,PDEFFFB,PDMFBBAD,PDMFBWANT,PDMFBUPST,PDMFBIMPT,PDENHSAD,PDENHANX,PDEMKPSELF,PDEMPOSNE,PDEMCNTNE,PDEMNEGNE,PDADTRY,PDADTASTE,PDADTRUST,PDBFRUTDRK,PDBFRUTJC,PDBSODA,PDBENERGY,PDBSPORT,PDBWATER,PDBMILK,PDFFRUIT,PDFSALAD,PDFPOTFRD,PDFPOTOTH,PDFVEG,PDFBEANS,PDFPIZZA,PDFTACOS,PDFHTSERV,PDFPROCMT,PDFBURGERS,PDFFRCHCKN,PDFWHGRBRD,PDFWHGRCKD,PDFCANDY,PDFCAKE,PDFDESSRT,PDFCHIPS,PDFCERSUGR,PDFCERNSUG,PDFORGCFV,PDFSCONV,PDFSSUPRMKT,PDFSMKTCSA,PDFSWAREHS,PDANCONV,PDANSUPRMKT,PDANMKTCSA,PDANFASTFD,PDANNFASTFD,PDMAFASTFD,PDMAPIZZA,PDMACONV,PDMAFSREST,PDMHFASTFD,PDMHDELIVR,PDMHHTSERV,PDMHCOOK,PDAFV,PDASWEET,PDASUGRDRK,PDACHIPS,PDFSRUNOUT,PDFSNOTLAST,PDFMTOGTHR,PDFMTV,PDFOODLBL,PDPFRUTDRK,PDPSODA,PDPWATER,PDPFRUIT,PDPVEG,PDFDSTAMP,PDFRPL,PDPFVENGH,PDPFVBUY,PDPFVTRYEAT,PDPFVTRYVAR,PDPFVDECIDE,PDPFVMKEAT,PDPFVMKRULE,PDPFBBADDAY,PDPFBNOTBUY,PDPFBAVOID,PDPFBDECIDE,PDPFBNOTEAT,PDPFBPARDEC,PDPFBMKRULE,FASTCMPFL,WT_P_DIET,WT_P_BOTH,QUOTA_P,QUOTA_T,XPJUNKFOOD_FREQ,XPJUNKFOOD_NOFD_FREQ,XPFASTCONV_FREQ,XPSSB_FREQ,XPSSB_NOED_FREQ,XPJUNK_SSB_FREQ,XPJUNK_SSB_NOFDED_FREQ,XPSUG_FOOD_FREQ,XPFATMEAT_FREQ,XPTOT_DET_FREQ,XPTOT_BEN_FREQ,XPFV_FREQ,XPJUNKFOOD_FREQ_TC,XPJUNKFOOD_NOFD_FREQ_TC,XPFASTCONV_FREQ_TC,XPSSB_FREQ_TC,XPSSB_NOED_FREQ_TC,XPJUNK_SSB_FREQ_TC,XPJUNK_SSB_NOFDED_FREQ_TC,XPSUG_FOOD_FREQ_TC,XPFATMEAT_FREQ_TC,XPTOT_DET_FREQ_TC,XPTOT_BEN_FREQ_TC,XPFV_FREQ_TC,XPPRED_FVALL,XPPRED_FVNOF,XPPRED_VEGNOF,XPPRED_FRUIT,XPPRED_SUGAR,XPPRED_DAIRY,XPPRED_SSB,XPPRED_WHGRN
0,13616184840.0,13616185661.0,5.0,12.0,1.0,3.0,2.0,5.0,5.0,4.0,1.0,5.0,5.0,0.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,3.0,5.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,5.0,3.0,2.0,2.0,1.0,1.0,5.0,1.0,3.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,1.0,2.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,12474.605463964424,12684.464524047069,2.0,9.0,1.45,1.16,1.45,0.29,0.29,1.74,1.45,0.8699999999999999,0.58,2.9,10.0,4.58,1.45,1.16,1.45,0.29,0.29,1.74,1.45,0.8699999999999999,0.58,2.9,10.0,4.58,3.6676272985872744,3.5474293667078345,1.5916923604780069,1.9085200682845818,13.247120727373455,1.7828793958813012,3.5291322877798255,4.867606086332191
1,13615927680.0,13615928915.0,7.0,12.0,0.0,4.0,2.0,5.0,4.0,4.0,2.0,5.0,3.0,0.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,6.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,1.0,4.0,4.0,3.0,-9.0,0.0,23751.12168706909,25004.961362865484,2.0,11.0,0.8699999999999999,0.8699999999999999,1.16,0.58,0.58,1.45,1.45,0.29,0.29,2.32,5.87,2.29,0.8699999999999999,0.8699999999999999,1.16,0.58,0.58,1.45,1.45,0.29,0.29,2.32,5.87,2.29,2.340072224632224,2.2133421770250563,1.2764938776718333,0.9333633694095274,12.098102919508422,1.9499923757157993,5.872601150365069,0.9142587487260521
2,13615767420.0,13615767720.0,9.0,12.0,0.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,6.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,-9.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,-9.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,32391.864558279867,33857.7459491661,2.0,9.0,3.29,3.29,-9.0,0.71,0.71,4.0,4.0,3.29,0.0,-9.0,-9.0,-9.0,3.29,3.29,-9.0,0.71,0.71,4.0,4.0,3.29,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.1668956094259393,-9.0,20.27053216682287,1.0086281551269696,6.327785361757992,6.486207227884823
3,13621191600.0,13621219788.0,13.0,12.0,0.0,7.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,2.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,3.0,5.0,0.0,25874.069372626032,26648.76920121519,2.0,9.0,1.16,0.8699999999999999,0.0,0.29,0.29,1.45,1.16,0.8699999999999999,0.29,1.74,9.449999999999998,5.87,1.16,0.8699999999999999,0.0,0.29,0.29,1.45,1.16,0.8699999999999999,0.29,1.74,9.449999999999998,5.87,3.859373623909087,3.85696168176401,1.8894383968247306,1.9085200682845818,11.342759711594391,1.133596270817725,3.5291322877798255,0.7070851082064089
4,13616235780.0,13616236837.0,21.0,12.0,1.0,11.0,2.0,5.0,3.0,5.0,2.0,5.0,3.0,0.0,5.0,4.0,1.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,6.0,5.0,3.0,4.0,4.0,2.0,1.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,10129.64225368964,10327.783839364072,2.0,8.0,1.58,1.58,1.16,1.29,1.29,2.87,2.87,1.29,0.58,4.32,5.71,2.0,1.58,1.58,1.16,1.29,1.29,2.87,2.87,1.29,0.58,4.32,5.71,2.0,2.573481413056466,2.4483610233694586,0.9855050842759799,1.4121237252288377,20.728864441065593,1.3392729978015319,12.291247939081519,0.869952517633864
5,13629751620.0,13629752780.0,23.0,12.0,1.0,12.0,2.0,1.0,4.0,5.0,4.0,5.0,6.0,0.0,2.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,-9.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,0.0,17756.35835027499,18025.789802402607,2.0,12.0,-9.0,1.16,1.74,0.58,0.58,-9.0,1.74,-9.0,0.8699999999999999,-9.0,2.0,1.29,-9.0,1.16,1.74,0.58,0.58,-9.0,1.74,-9.0,0.8699999999999999,-9.0,2.0,1.29,1.8439763004511618,1.72789318940274,0.9909100967370932,0.7466348504215611,-9.0,-9.0,6.017983314745588,0.16344662741227642
6,13616270880.0,13616273084.0,27.0,12.0,0.0,14.0,2.0,5.0,5.0,5.0,2.0,5.0,7.0,0.0,2.0,4.0,1.0,4.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,0.0,18455.97128395743,18584.226967398965,2.0,10.0,1.87,1.58,0.29,0.0,0.0,1.87,1.58,1.58,0.29,2.16,9.579999999999998,5.0,1.87,1.58,0.29,0.0,0.0,1.87,1.58,1.58,0.29,2.16,9.579999999999998,5.0,4.705830473049115,4.585479577029611,1.0390747014530999,3.405339722942371,11.433618179751674,1.133596270817725,0.22015654722513855,4.189591504920099
7,13618784700.0,13618785516.0,35.0,12.0,0.0,18.0,2.0,5.0,4.0,5.0,3.0,5.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,2.0,4.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,1.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,0.0,15035.975097687506,15882.765850652422,2.0,12.0,0.58,0.29,0.8699999999999999,0.71,0.71,1.29,1.0,0.8699999999999999,0.58,2.7399999999999998,8.58,3.58,0.58,0.29,0.8699999999999999,0.71,0.71,1.29,1.0,0.8699999999999999,0.58,2.7399999999999998,8.58,3.58,2.7397230225644567,2.7424728495173802,1.735812101190004,0.9690909428693367,14.34962862028868,1.4380994765208934,6.15067272577876,3.1064292189653164
8,13619383200.0,13619383806.0,41.0,12.0,0.0,21.0,2.0,4.0,4.0,4.0,1.0,4.0,5.0,0.0,3.0,4.0,2.0,4.0,1.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,2.0,2.0,2.0,1.0,5.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,4.0,2.0,5.0,2.0,5.0,0.0,13848.262636334937,14113.673789832004,2.0,8.0,1.16,1.16,0.8699999999999999,0.0,0.0,1.16,1.16,0.58,0.58,2.03,6.0,1.71,1.16,1.16,0.8699999999999999,0.0,0.0,1.16,1.16,0.58,0.58,2.03,6.0,1.71,1.8302591197093707,1.69403132675935,0.9769619493310787,0.7280003472661605,9.631343452223518,1.0634769859351283,0.22015654722513855,1.984624537645385
9,13618966140.0,13618967119.0,63.0,12.0,1.0,32.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,0.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,6.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,4.0,5.0,5.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,8257.38867406048,8738.015881452759,2.0,12.0,2.0,2.0,1.16,4.0,1.0,6.0,3.0,1.0,0.29,6.869999999999999,4.58,3.29,2.0,2.0,1.16,4.0,1.0,6.0,3.0,1.0,0.29,6.869999999999999,4.58,3.29,2.9853464450252507,2.863775892548909,1.4519420902695892,1.3838522742807957,30.514080695902287,1.487025379383516,29.871875430673484,0.7701836502378498
